fiber_id,u_px,v_px,X_true_um,Y_true_um,X_meas_um,Y_meas_um,dX_um,dY_um,radial_err_um,detect_success
0,7870.729817553046,5687.580069307363,107120.88931958782,49101.44553208136,107119.08873837657,49100.71387617713,1.8005812112533022,0.7316559042301378,1.9435568066082425,True
1,6661.120586685609,5860.272523448554,-60969.50877367686,74592.55234712514,-60972.593138230535,74594.13535122598,3.0843645536733675,-1.583004100844846,3.4668727526761507,True
2,7787.519916031732,5592.830188018637,95421.75494532936,36015.59756426074,95422.18364436945,36016.686638801715,-0.42869904008693993,-1.0890745409778901,1.1704128428796676,True
3,8020.964557572754,5633.400128364483,127965.15684348339,41383.50314375752,127963.68556109988,41382.091450029846,1.4712823835143354,1.4116937276776298,2.039007364578163,True
4,7618.014902801346,5446.784623085381,71654.3795054993,15902.198044328048,71656.61985333108,15901.647568080787,-2.2403478317864938,0.550476247261031,2.3069855886392165,True
5,6163.825242096414,5325.150450455736,-130825.03489392053,744.380340485106,-130823.79191003983,744.9150007362257,-1.2429838807001943,-0.5346602511197034,1.353096638015149,True
6,6146.363369034543,5460.597810395212,-133092.4673744119,19613.622805313265,-133090.86343975895,19613.228410994805,-1.6039346529578324,0.3943943184603995,1.6517122174860868,True
7,6479.873809500195,5407.815690929628,-86737.0596071003,11861.857788041816,-86736.9796162372,11862.707086058515,-0.0799908631015569,-0.849298016699322,0.8530566565880217,True
8,7565.032200291622,5839.035190291701,64765.29538780835,70539.22627643496,64764.28256978195,70541.02248374705,1.0128180264000548,-1.7962073120870627,2.0620768808645162,True
9,6139.465522271816,4779.942430169622,-134889.1844622302,-75095.04022695677,-134886.42348029968,-75094.76506302085,-2.760981930507114,-0.2751639359194087,2.7746596930466,True
10,7294.5273799044535,5994.966638401716,27318.833173567866,92563.68964921898,27317.95570237607,92564.65405264057,0.8774711917940294,-0.9644034215889405,1.303851852014212,True
11,6237.767721480829,6177.03787293737,-119516.81830010346,119207.59927963006,-119518.45673272552,119208.18064525111,1.638432622057735,-0.5813656210521003,1.7385187495003553,True
12,7408.841272566572,6081.164296021298,43330.71678372705,104422.0789466821,43329.13341784027,104422.97209705724,1.5833658867850318,-0.8931503751373384,1.8179012965621975,True
13,7401.0486056032,6060.464390882148,42218.21779626192,101552.86487449746,42219.384299842866,101551.46102843327,-1.166503580949211,1.4038460641895654,1.8252436484776124,True
